phecode,aou,mgi,ukb,plus20
CA_146.2,303,1483,162,1
CA_146.3,143,255,68,1
CA_146.31,24,67,10,0
CA_146.32,81,90,34,1
CA_147,693,2994,377,1
CA_147.1,506,888,179,1
CA_147.2,10,583,7,0
CA_147.3,170,1555,174,1
CA_147.4,11,486,13,0
CA_148,5355,3257,1987,1
CA_148.1,2979,1250,307,1
CA_148.11,169,102,26,1
CA_148.12,22,24,6,0
CA_148.13,252,104,66,1
CA_148.14,21,94,5,0
CA_148.15,72,6,17,0
CA_148.16,2329,873,180,1
CA_148.2,1545,751,1118,1
CA_148.3,588,760,128,1
CA_148.4,110,470,34,1
CA_148.5,562,529,467,1
CA_149,3026,4173,1946,1
CA_149.1,890,2401,462,1
CA_149.3,629,1308,822,1
CA_149.4,1567,797,664,1
CA_149.5,28,12,4,0
CA_152,233,9545,70,1
CA_153,3571,3510,279,1
CM_750,2134,848,485,1
CM_750.1,798,361,173,1
CM_750.11,145,52,6,0
CM_750.111,30,6,2,0
CM_750.112,17,12,,0
CM_750.113,98,33,4,0
CM_750.114,1,,,0
CM_750.115,1,2,,0
CM_750.12,20,3,3,0
CM_750.13,,2,,0
CM_750.14,77,22,26,1
CM_750.15,100,68,31,1
CM_750.151,17,8,17,0
CM_750.152,9,5,4,0
CM_750.16,199,108,90,1
CM_750.2,728,426,296,1
CM_750.21,436,270,211,1
CM_750.22,104,30,94,1
CM_750.23,2,2,,0
CM_750.24,115,88,7,0
CM_750.26,21,3,1,0
CM_750.27,13,9,7,0
CM_751,1711,577,235,1
CM_751.1,81,86,18,0
CM_751.11,73,66,18,0
CM_751.111,1,,,0
CM_751.112,22,17,5,0
CM_751.113,51,52,13,0
CM_751.2,405,165,128,1
CM_751.21,274,111,105,1
CM_751.211,,6,2,0
CM_751.212,1,,,0
CM_751.213,245,104,96,1
CM_751.214,10,,7,0
CM_751.22,72,29,19,0
CM_751.221,17,6,9,0
CM_751.222,3,1,,0
CM_751.23,41,21,2,0
CM_751.231,13,6,,0
CM_751.24,6,3,,0
CM_751.241,5,2,,0
CM_751.3,722,145,27,1
CM_751.31,28,4,2,0
CM_751.32,302,87,21,1
CM_751.33,356,43,2,0
CM_751.34,29,13,,0
CM_751.4,97,30,20,1
CM_751.5,42,30,8,0
CM_751.7,154,89,41,1
CM_751.71,154,89,41,1
CM_751.711,65,35,34,1
CM_751.8,15,13,6,0
CM_752,288,154,58,1
CM_752.1,30,22,4,0
CM_752.11,23,21,4,0
CM_752.12,8,2,,0
CM_752.2,3,3,,0
CM_752.3,15,4,4,0
CM_752.4,1,,,0
CM_752.5,4,6,25,0
CM_752.6,16,11,6,0
CM_752.7,22,27,3,0
CM_752.8,36,39,2,0
CM_753,304,193,185,1
CM_753.1,78,86,101,1
CM_753.2,150,62,72,1
CM_753.3,6,1,,0
CM_754,517,368,362,1
CM_754.1,138,166,43,1
CM_754.11,118,148,35,1
CM_754.111,40,71,19,0
CM_754.12,29,54,5,0
CM_754.14,6,2,4,0
CM_754.3,8,23,5,0
CM_754.31,2,2,,0
CM_754.32,7,22,5,0
CM_754.4,67,35,9,0
CM_754.41,1,,,0
CM_754.42,1,2,,0
CM_754.5,190,95,10,0
CM_754.52,58,32,,0
CM_754.6,9,3,3,0
CM_754.7,33,55,268,1
CM_754.71,11,13,259,0
CM_755,743,466,82,1
CM_755.1,101,98,5,0
CM_755.2,16,10,3,0
CM_755.21,4,,,0
CM_755.22,3,3,,0
CM_755.23,10,7,3,0
CM_755.3,4,6,8,0
CM_755.31,3,6,6,0
CM_755.4,8,8,,0
CM_755.5,20,18,,0
CM_755.6,128,135,27,1
CM_755.61,10,9,5,0
CM_755.62,5,16,2,0
CM_755.63,5,,,0
CM_755.7,,1,,0
CM_757,1097,530,249,1
CM_757.1,808,367,146,1
CM_757.11,478,261,63,1
CM_757.111,139,107,54,1
CM_757.12,1,,,0
CM_757.13,78,40,46,1
CM_757.2,229,118,80,1
CM_757.21,7,16,1,0
CM_757.22,63,61,17,0
CM_758,2702,959,564,1
CM_758.1,1836,568,343,1
CM_758.11,79,64,118,1
CM_758.12,30,21,16,0
CM_758.13,39,43,7,0
CM_758.131,15,14,3,0
CM_758.132,24,31,4,0
CM_758.14,100,42,45,1
CM_758.15,3,3,1,0
CM_758.16,1,,1,0
CM_758.17,3,6,1,0
CM_758.2,505,266,162,1
CM_758.21,15,14,1,0
CM_758.22,199,78,114,1
CM_758.3,368,112,28,1
CM_758.31,10,3,1,0
CM_760,1455,1139,964,1
CM_760.1,974,766,611,1
CM_760.11,38,23,8,0
CM_760.111,2,4,6,0
CM_760.12,193,348,233,1
CM_760.13,563,238,285,1
CM_760.131,6,9,3,0
CM_760.132,168,80,64,1
CM_760.133,141,39,143,1
CM_760.134,31,11,16,0
CM_760.135,63,19,,0
CM_760.15,94,65,36,1
CM_760.151,7,8,3,0
CM_760.152,17,30,15,0
CM_760.153,17,5,,0
CM_760.16,24,45,40,1
CM_760.161,18,45,36,0
CM_760.17,14,12,,0
CM_760.18,1,5,2,0
CM_760.2,377,315,353,1
CM_760.21,129,107,124,1
CM_760.211,90,81,84,1
CM_760.212,20,22,,0
CM_760.213,,,6,0
CM_760.214,14,9,11,0
CM_760.215,2,4,,0
CM_760.22,227,191,210,1
CM_760.221,78,99,188,1
CM_760.222,3,9,1,0
CM_760.223,4,2,1,0
CM_760.224,38,42,,0
CM_760.226,21,7,,0
CM_760.227,,4,3,0
CM_760.25,8,6,13,0
CM_760.26,5,2,3,0
CM_760.3,7,23,1,0
CM_761,4724,2828,1310,1
CM_761.1,4099,2389,1177,1
CM_761.11,533,329,203,1
CM_761.111,404,280,194,1
CM_761.112,67,23,15,0
CM_761.12,44,56,20,1
CM_761.13,3085,1869,611,1
CM_761.131,132,140,42,1
CM_761.16,74,15,230,0
CM_761.17,139,63,81,1
CM_761.18,79,24,35,1
CM_761.19,2,2,1,0
CM_761.2,450,348,79,1
CM_761.21,299,238,27,1
CM_761.211,43,23,9,0
CM_761.212,9,6,,0
CM_761.23,1,2,10,0
CM_761.25,101,74,39,1
CM_761.26,7,11,,0
CM_761.3,174,137,68,1
CM_761.31,9,17,6,0
CM_761.32,5,9,2,0
CM_761.33,44,47,32,1
CM_761.34,63,30,15,0
CM_761.35,1,,,0
CM_762,398,224,87,1
CM_762.1,109,77,46,1
CM_762.11,16,18,16,0
CM_762.12,5,14,8,0
CM_762.13,,,1,0
CM_762.14,27,18,9,0
CM_762.15,14,3,,0
CM_762.2,42,23,3,0
CM_762.3,124,54,29,1
CM_762.31,24,19,2,0
CM_762.32,6,3,3,0
CM_762.33,19,15,9,0
CM_762.34,12,2,4,0
CM_762.35,3,4,4,0
CM_763,5655,2947,1513,1
CM_763.1,954,829,160,1
CM_763.11,28,23,2,0
CM_763.12,89,50,5,0
CM_763.13,120,51,26,1
CM_763.14,532,606,77,1
CM_763.141,133,77,37,1
CM_763.142,9,12,,0
